,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
158,159,PO-10-042,60.0,75.0,207942.58,8408949.6,7823.06299999998,15.0,0.276,0.007,3.1,0.103,0.035,0.077,4.68,69.7,10.09,7.39,1.18,2.9,1.23,0.69,0.007,0.013,0.03,0.07,Hipógeno,5,Skarn,113.058,18.184,3,Skarn,1049499,
159,160,PO-10-043,56.6,75.4,207968.45,8409041.5,7850.88499999998,18.8,0.725,0.004,9.5,0.196,0.015,0.089,2.2,48.9,9.63,25.59,1.01,3.93,0.18,1.28,0.008,0.013,0.01,0.03,Hipógeno,5,Skarn,79.791,13.998,3,Skarn,1049500,
160,161,PO-11-052,190.0,205.0,207994.32,8409133.4,7878.70699999998,15.0,0.314,0.004,3.8,0.059,0.007,0.312,2.55,59.9,25.7,5.56,0.81,2.27,0.08,1.29,0.003,0.005,0.01,0.03,Hipógeno,5,Skarn,66.033,14.104,3,Skarn,1049501,
161,162,PO-11-057,165.0,180.0,208020.19,8409225.3,7906.52899999998,15.0,0.145,0.007,6.7,0.16,0.048,0.198,5.04,45.0,6.5,15.07,2.26,3.1,0.37,0.69,0.004,0.009,0.03,0.09,Hipógeno,5,Skarn,78.78,16.682,3,Skarn,1049502,
162,163,PO-11-084,77.4,92.4,208046.06,8409317.2,7934.35099999998,15.0,0.264,0.028,3.2,0.19,0.046,0.282,4.03,68.0,6.38,21.38,1.66,1.15,0.55,0.96,0.006,0.012,0.02,0.07,Hipógeno,5,Skarn,79.55,18.535,3,Skarn,1049504,
163,164,PO-11-101,156.9,171.0,208071.93,8409409.1,7962.17299999998,14.1,0.275,0.003,1.5,0.164,0.008,0.038,4.38,38.3,13.03,12.78,1.08,2.86,0.19,0.39,0.036,0.081,0.13,0.43,Mixto,5,Skarn,42.289,14.051,3,Skarn,1049505,
164,165,PO-12-112,152.0,167.0,208097.8,8409501.0,7989.99499999998,15.0,0.048,0.001,0.8,0.022,0.002,0.028,3.89,43.8,11.49,17.2,1.06,4.14,0.03,0.19,0.002,0.002,0.04,0.08,Hipógeno,5,Skarn,99.255,18.044,3,Skarn,1049506,
165,166,PO-09-013,125.7,140.0,208123.67,8409592.9,8017.81699999998,14.3,0.157,0.007,1.6,0.058,0.034,0.075,4.07,46.7,7.4,15.19,0.99,3.62,0.81,2.53,0.004,0.006,0.03,0.06,Hipógeno,5,Skarn,142.648,20.989,3,Skarn,1049507,
166,167,PO-10-016,45.0,60.0,208149.54,8409684.8,8045.63899999998,15.0,0.473,0.002,3.9,0.112,0.009,0.592,1.9,77.8,19.58,16.77,0.41,1.5,0.01,2.44,0.007,0.013,0.01,0.04,Hipógeno,5,Skarn,54.315,13.873,3,Skarn,1049508,
167,168,PO-10-015,165.0,180.0,208175.41,8409776.7,8073.46099999998,15.0,0.458,0.007,2.3,0.08,0.026,0.037,5.19,32.8,7.67,7.48,1.87,3.33,1.07,1.27,0.007,0.01,0.02,0.04,Hipógeno,5,Skarn,136.217,20.844,3,Skarn,1049509,
168,169,PO-10-024,34.0,48.0,208201.28,8409868.6,8101.28299999998,14.0,0.148,0.003,0.25,0.057,0.0005,0.009,4.1,31.7,8.32,14.11,0.83,4.33,0.97,0.3,0.013,0.019,0.09,0.22,Hipógeno,5,Skarn,126.626,15.657,3,Skarn,1049511,
169,170,PO-10-024,64.0,78.0,208227.15,8409960.5,8129.10499999998,14.0,0.111,0.001,0.25,0.049,0.0005,0.009,5.24,29.5,8.18,10.51,1.2,2.26,0.68,0.19,0.01,0.019,0.09,0.26,Hipógeno,5,Skarn,82.374,14.54,3,Skarn,1049512,
170,171,PO-10-026,16.6,27.4,208253.02,8410052.4,8156.92699999998,10.8,1.856,0.056,33.5,0.359,0.026,0.084,3.37,50.2,7.02,28.73,0.84,1.17,0.28,5.69,0.087,0.132,0.05,0.12,Hipógeno,5,Skarn,104.305,18.319,3,Skarn,1049513,
171,172,PO-10-031,30.0,45.0,208278.89,8410144.3,8184.74899999998,15.0,0.921,0.108,7.3,0.926,0.37,0.946,0.03,49.5,0.03,20.54,0.005,0.005,0.005,2.02,0.012,0.047,0.01,0.06,Hipógeno,5,Skarn,119.687,19.727,3,Skarn,1049514,
172,173,PO-10-031,168.3,179.0,208304.76,8410236.2,8212.57099999998,10.7,0.177,0.012,2.9,0.071,0.003,0.023,1.09,41.8,4.44,30.8,0.32,3.02,0.11,1.35,0.006,0.006,0.03,0.07,Hipógeno,5,Skarn,62.824,15.274,3,Skarn,1049515,
173,174,PO-10-035,15.0,30.0,208330.63,8410328.1,8240.39299999998,15.0,0.179,0.001,0.6,0.112,0.0005,0.009,3.93,31.1,6.27,21.86,0.76,4.2,0.75,0.2,0.092,0.014,0.51,0.59,Mixto,5,Skarn,90.285,15.185,3,Skarn,1049516,
174,175,PO-10-040,35.0,45.0,208356.5,8410420.0,8268.21499999998,10.0,0.118,0.023,1.5,0.092,0.144,0.185,7.97,48.4,8.28,4.02,1.75,1.56,1.47,0.24,0.023,0.009,0.19,0.27,Hipógeno,5,Skarn,102.378,17.772,3,Skarn,1049518,
175,176,PO-10-041,247.1,262.2,208382.37,8410511.9,8296.03699999998,15.1,0.159,0.004,3.0,0.267,0.05,0.081,5.32,59.2,5.03,11.67,2.09,1.48,0.72,0.54,0.009,0.047,0.06,0.35,Mixto,5,Skarn,116.633,20.967,3,Skarn,1049519,
176,177,PO-11-054,173.0,188.0,208408.24,8410603.8,8323.85899999998,15.0,0.269,0.014,1.9,0.145,0.036,0.082,4.79,38.6,6.01,20.16,2.1,2.67,0.7,0.46,0.028,0.058,0.1,0.32,Mixto,5,Skarn,122.513,18.769,3,Skarn,1049520,
177,178,PO-11-059,74.6,84.7,208434.11,8410695.7,8351.68099999998,10.1,0.492,0.033,1.7,0.236,0.01,0.025,5.21,58.6,11.11,9.37,1.29,2.32,0.92,0.53,0.016,0.053,0.03,0.14,Hipógeno,5,Skarn,129.32,20.275,3,Skarn,1049521,
178,179,PO-11-079,60.0,72.1,208459.98,8410787.6,8379.50299999998,12.1,0.333,0.015,0.25,0.2,0.0005,0.01,4.24,21.9,4.7,19.88,1.18,1.55,0.97,0.38,0.018,0.065,0.05,0.25,Hipógeno,5,Skarn,86.615,12.233,3,Skarn,1049522,
179,180,PO-11-080,15.0,30.0,208485.85,8410879.5,8407.32499999998,15.0,0.098,0.011,1.2,0.05,0.0005,0.011,2.13,30.1,11.33,13.8,0.64,4.7,0.17,0.29,0.016,0.017,0.16,0.34,Mixto,5,Skarn,51.681,14.984,3,Skarn,1049523,
180,181,PO-11-087,139.2,154.2,208511.72,8410971.4,8435.14699999998,15.0,0.33,0.007,1.2,0.787,0.017,0.036,3.24,68.5,8.68,18.84,1.43,2.9,0.49,0.57,0.006,0.008,0.02,0.04,Hipógeno,5,Skarn,84.925,15.762,3,Skarn,1049525,
181,182,PO-11-088,35.0,49.5,208537.59,8411063.3,8462.96899999998,14.5,0.597,0.012,1.6,0.132,0.0005,0.016,3.18,58.3,17.94,16.16,0.7,1.82,0.23,0.42,0.109,0.177,0.18,0.48,Mixto,5,Skarn,48.077,12.823,3,Skarn,1049526,
182,183,PO-11-101,187.9,198.0,208563.46,8411155.2,8490.79099999998,10.1,0.365,0.001,1.4,0.102,0.004,0.039,4.58,51.9,12.75,8.22,1.38,4.82,0.19,0.4,0.026,0.106,0.07,0.36,Mixto,5,Skarn,96.629,16.334,3,Skarn,1049527,
183,184,PO-10-020,75.0,90.0,208589.33,8411247.1,8518.61299999998,15.0,0.463,0.004,4.2,0.152,0.011,0.025,4.41,53.6,9.0,12.37,1.45,3.09,0.6,0.51,0.036,0.101,0.08,0.3,Hipógeno,5,Skarn,95.178,16.349,3,Skarn,1049528,
184,185,PO-10-038,67.8,78.9,208615.2,8411339.0,8546.43499999998,11.1,0.098,0.001,1.0,0.064,0.009,0.019,5.93,31.8,7.74,15.66,1.39,4.05,0.98,0.31,0.007,0.019,0.07,0.27,Hipógeno,5,Skarn,117.071,18.385,3,Skarn,1049529,
185,186,PO-10-044,30.0,45.0,208641.07,8411430.9,8574.25699999998,15.0,0.128,0.001,0.9,0.052,0.001,0.023,4.65,37.4,15.94,11.04,0.91,3.51,0.12,0.19,0.06,0.027,0.47,0.68,Mixto,5,Skarn,27.513,12.663,3,Skarn,1049530,
186,187,PO-11-057,105.0,120.0,208666.94,8411522.8,8602.07899999998,15.0,0.301,0.014,1.5,0.158,0.004,0.022,6.61,32.1,6.98,15.53,1.45,1.05,0.9,0.28,0.037,0.09,0.12,0.42,Mixto,5,Skarn,115.285,16.498,3,Skarn,1049532,
187,188,PO-11-058,100.7,115.7,208692.81,8411614.7,8629.90099999998,15.0,0.173,0.014,1.0,0.102,0.006,0.053,5.41,75.0,6.58,16.07,1.31,1.47,1.02,0.27,0.014,0.041,0.08,0.32,Mixto,5,Skarn,85.652,15.746,3,Skarn,1049533,
188,189,PO-11-058,160.7,175.7,208718.68,8411706.6,8657.72299999998,15.0,0.319,0.005,1.7,0.138,0.005,0.03,5.29,46.9,6.8,11.45,2.44,3.16,0.71,0.42,0.014,0.04,0.04,0.17,Hipógeno,5,Skarn,92.699,16.064,3,Skarn,1049534,
189,190,PO-10-017,86.0,101.0,208744.55,8411798.5,8685.54499999998,15.0,0.138,0.007,0.6,0.067,0.001,0.014,2.48,42.4,9.59,25.09,0.77,0.85,0.08,0.73,0.006,0.009,0.04,0.11,Hipógeno,5,Skarn,73.924,12.752,3,Skarn,1049535,
190,191,PO-10-018,32.5,45.0,208770.42,8411890.4,8713.36699999998,12.5,0.337,0.043,1.9,0.107,0.014,0.056,3.0,55.0,7.8,25.23,0.55,1.59,0.2,0.56,0.022,0.037,0.07,0.18,Hipógeno,5,Skarn,133.969,18.63,3,Skarn,1049536,
191,192,PO-10-024,94.0,109.0,208796.29,8411982.3,8741.18899999997,15.0,0.135,0.002,0.25,0.072,0.006,0.029,2.07,46.8,3.41,20.76,0.58,1.31,0.35,0.15,0.015,0.037,0.11,0.39,Mixto,5,Skarn,69.812,14.283,3,Skarn,1049537,
192,193,PO-10-042,30.0,45.0,208822.16,8412074.2,8769.01099999997,15.0,0.833,0.062,1.2,0.316,0.003,0.011,3.14,43.2,5.96,21.37,1.1,3.34,0.48,1.29,0.027,0.032,0.03,0.07,Hipógeno,5,Skarn,83.401,13.705,3,Skarn,1049539,
193,194,PO-10-044,100.5,115.5,208848.03,8412166.1,8796.83299999997,15.0,0.601,0.008,4.5,0.208,0.01,0.027,2.83,64.4,14.25,8.04,0.88,3.18,0.2,1.75,0.008,0.02,0.01,0.05,Hipógeno,5,Skarn,89.572,17.458,3,Skarn,1049540,
194,195,PO-11-049,143.1,156.1,208873.9,8412258.0,8824.65499999997,13.0,0.328,0.001,2.3,0.156,0.003,0.026,2.64,56.1,9.09,24.82,0.58,3.09,0.11,0.73,0.005,0.003,0.02,0.02,Hipógeno,5,Skarn,119.403,16.688,3,Skarn,1049541,
195,196,PO-11-057,150.0,165.0,208899.77,8412349.9,8852.47699999997,15.0,0.293,0.045,3.4,0.126,0.086,0.092,5.25,81.6,9.03,9.0,2.04,2.2,0.35,0.52,0.014,0.04,0.05,0.18,Hipógeno,5,Skarn,84.243,16.472,3,Skarn,1049542,
196,197,PO-11-057,183.0,195.0,208925.64,8412441.8,8880.29899999997,12.0,0.784,0.003,5.5,0.31,0.012,0.064,1.8,74.4,5.56,23.85,0.81,2.14,0.09,1.06,0.067,0.208,0.09,0.35,Mixto,5,Skarn,92.275,16.987,3,Skarn,1049543,
197,198,PO-11-077,105.2,120.2,208951.51,8412533.7,8908.12099999997,15.0,0.242,0.007,4.5,0.373,0.063,0.103,2.16,73.4,6.02,28.85,0.59,2.62,0.1,2.24,0.006,0.018,0.02,0.1,Hipógeno,5,Skarn,103.735,16.796,3,Skarn,1049544,
198,199,PO-11-087,124.2,135.0,208977.38,8412625.6,8935.94299999997,10.8,0.426,0.001,3.4,0.193,0.009,0.061,3.59,53.8,15.65,12.92,0.8,2.02,0.04,1.07,0.005,0.01,0.01,0.04,Hipógeno,5,Skarn,52.847,12.25,3,Skarn,1049545,
199,200,PO-11-095,50.0,60.0,209003.25,8412717.5,8963.76499999997,10.0,0.469,0.007,2.0,0.147,0.005,0.059,2.58,53.5,6.88,23.34,0.87,2.73,0.13,0.81,0.008,0.01,0.02,0.04,Hipógeno,5,Skarn,22.577,12.788,3,Skarn,1049547,
200,201,PO-10-035,0.0,15.0,209029.12,8412809.4,8991.58699999997,15.0,0.133,0.001,1.0,0.062,0.001,0.009,5.63,41.8,6.77,17.22,0.9,3.99,1.56,0.14,0.066,0.01,0.5,0.57,Mixto,5,Skarn,114.338,15.968,3,Skarn,1049548,
201,202,PO-11-054,112.0,122.0,209054.99,8412901.3,9019.40899999997,10.0,0.108,0.057,0.7,0.083,0.0005,0.027,8.34,45.5,7.7,5.76,1.62,1.77,1.59,0.18,0.009,0.014,0.08,0.21,Hipógeno,5,Skarn,123.06,17.699,3,Skarn,1049549,
202,203,PO-11-067,8.1,23.1,209080.86,8412993.2,9047.23099999997,15.0,0.741,0.043,21.3,0.553,0.288,1.3,2.06,314.4,10.54,12.36,0.62,1.38,0.04,3.65,0.011,0.029,0.01,0.05,Hipógeno,5,Skarn,103.441,16.985,3,Skarn,1049550,
203,204,PO-12-111,124.3,135.0,209106.73,8413085.1,9075.05299999997,10.7,1.809,0.001,9.9,1.379,0.014,0.048,2.32,43.9,8.32,32.14,0.77,1.45,0.17,0.84,0.252,0.749,0.14,0.55,Mixto,5,Skarn,46.366,12.173,3,Skarn,1049551,
204,205,PO-12-134,18.2,33.2,209132.6,8413177.0,9102.87499999997,15.0,0.136,0.009,0.25,0.103,0.0005,0.006,6.89,37.0,5.32,13.79,1.49,3.91,1.95,0.13,0.014,0.026,0.1,0.29,Hipógeno,5,Skarn,153.494,19.518,3,Skarn,1049552,
205,206,PO-12-134,78.2,93.2,209158.47,8413268.9,9130.69699999997,15.0,0.107,0.01,0.25,0.039,0.0005,0.01,5.28,32.0,6.68,24.82,1.09,4.25,0.83,0.41,0.004,0.005,0.04,0.08,Hipógeno,5,Skarn,136.437,16.502,3,Skarn,1049554,
206,207,PO-12-134,93.2,108.2,209184.34,8413360.8,9158.51899999997,15.0,0.6,0.006,1.6,0.276,0.001,0.032,3.71,39.3,7.98,26.19,0.78,3.17,0.24,0.47,0.078,0.12,0.13,0.33,Mixto,5,Skarn,101.237,15.665,3,Skarn,1049555,
207,208,PO-11-079,75.0,90.0,209210.21,8413452.7,9186.34099999997,15.0,1.065,0.035,3.8,0.369,0.002,0.021,1.76,29.9,3.73,39.52,0.32,1.53,0.27,1.02,0.039,0.064,0.04,0.1,Hipógeno,5,Skarn,62.19,11.881,3,Skarn,1049556,
208,209,PO-11-081,47.0,62.0,209236.08,8413544.6,9214.16299999997,15.0,0.692,0.005,1.2,0.21,0.0005,0.018,3.34,36.7,7.76,24.61,1.06,2.74,0.35,0.55,0.083,0.125,0.12,0.3,Mixto,5,Skarn,85.297,14.36,3,Skarn,1049557,
209,210,PO-09-006,75.0,90.0,209261.95,8413636.5,9241.98499999997,15.0,2.287,0.001,7.1,0.81,0.003,0.032,1.29,38.6,3.1,40.0,0.41,2.35,0.01,2.5,0.06,0.078,0.03,0.06,Hipógeno,5,Skarn,90.807,13.658,3,Skarn,1049558,
210,211,PO-09-009,15.0,30.0,209287.82,8413728.4,9269.80699999997,15.0,0.225,0.006,3.4,0.137,0.016,0.03,6.28,40.1,12.86,13.23,1.56,1.71,0.22,0.32,0.102,0.009,0.45,0.49,Mixto,5,Skarn,64.621,14.441,3,Skarn,1049559,
211,212,PO-10-019,79.0,94.0,209313.69,8413820.3,9297.62899999997,15.0,0.138,0.008,1.7,0.247,0.048,0.157,9.66,57.5,16.76,13.75,2.65,3.17,0.63,0.46,0.012,0.014,0.09,0.19,Hipógeno,5,Skarn,94.611,16.326,3,Skarn,1049561,
212,213,PO-10-027,15.0,30.0,209339.56,8413912.2,9325.45099999997,15.0,0.11,0.007,4.8,0.242,0.057,0.128,4.53,114.7,7.22,18.7,1.41,1.6,0.48,0.85,0.017,0.009,0.15,0.24,Hipógeno,5,Skarn,89.774,15.475,3,Skarn,1049562,
213,214,PO-10-035,30.0,45.0,209365.43,8414004.1,9353.27299999997,15.0,0.43,0.004,1.7,0.121,0.01,0.042,3.92,95.9,3.86,31.6,1.05,3.83,0.34,0.97,0.238,0.041,0.55,0.65,Mixto,5,Skarn,32.892,10.72,3,Skarn,1049563,
214,215,PO-11-052,150.0,160.0,209391.3,8414096.0,9381.09499999997,10.0,0.294,0.001,1.4,0.108,0.0005,0.096,4.81,57.2,20.42,6.37,0.6,2.62,0.04,0.65,0.006,0.009,0.02,0.05,Hipógeno,5,Skarn,10.665,13.465,3,Skarn,1049564,
215,216,PO-12-134,153.2,166.0,209417.17,8414187.9,9408.91699999997,12.8,1.698,0.016,6.0,0.422,0.0005,0.025,2.64,42.2,2.39,39.9,1.92,1.01,0.33,1.25,0.257,0.569,0.15,0.49,Mixto,5,Skarn,66.884,15.128,3,Skarn,1049565,
216,217,PO-10-017,212.0,227.0,209443.04,8414279.8,9436.73899999997,15.0,0.517,0.003,7.7,0.346,0.094,0.182,5.47,51.3,4.18,18.71,2.03,1.32,0.95,0.89,0.027,0.068,0.05,0.18,Hipógeno,5,Skarn,77.45,19.753,3,Skarn,1049566,
217,218,PO-10-019,169.0,184.0,209468.91,8414371.7,9464.56099999997,15.0,2.109,0.04,10.2,0.588,0.042,0.103,0.96,110.9,2.61,40.0,0.42,1.74,0.005,2.89,0.147,0.299,0.07,0.21,Hipógeno,5,Skarn,79.522,11.539,3,Skarn,1049568,
218,219,PO-10-040,60.0,75.0,209494.78,8414463.6,9492.38299999997,15.0,1.443,0.019,2.0,0.472,0.002,0.022,3.38,45.8,4.57,32.1,1.31,2.05,0.5,2.0,0.035,0.036,0.02,0.05,Hipógeno,5,Skarn,79.084,14.677,3,Skarn,1049569,
219,220,PO-11-054,203.0,223.5,209520.65,8414555.5,9520.20499999997,20.5,1.09,0.005,3.5,0.382,0.109,0.057,3.61,43.6,4.54,29.21,1.81,3.67,0.54,1.13,0.054,0.144,0.05,0.18,Hipógeno,5,Skarn,99.739,15.428,3,Skarn,1049570,
220,221,PO-11-056,2.0,17.0,209546.52,8414647.4,9548.02699999997,15.0,0.147,0.005,1.5,0.189,0.01,0.033,7.47,49.0,7.29,5.86,1.56,1.84,1.91,0.12,0.07,0.021,0.48,0.62,Mixto,5,Skarn,125.234,19.367,3,Skarn,1049571,
221,222,PO-11-058,175.7,186.0,209572.39,8414739.3,9575.84899999997,10.3,1.078,0.092,3.9,0.334,0.0005,0.02,1.55,46.2,2.99,38.65,0.96,1.85,0.15,1.08,0.085,0.184,0.08,0.25,Hipógeno,5,Skarn,53.705,13.022,3,Skarn,1049572,
222,223,PO-11-062,0.0,15.0,209598.26,8414831.2,9603.67099999997,15.0,0.168,0.001,0.7,0.071,0.014,0.043,7.97,28.9,5.46,4.36,1.9,2.21,2.95,0.1,0.089,0.007,0.53,0.57,Mixto,5,Skarn,101.401,14.138,3,Skarn,1049573,
