,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
10,11,PO-09-007,210.0,216.0,204451.7,8396765.0,4067.53,6.0,0.924,0.001,5.3,0.411,0.038,0.079,2.63,60.0,5.62,31.06,1.47,1.0,0.27,0.81,0.136,0.397,0.15,0.58,Mixto,5,Skarn,85.22,13.65,3,Skarn,SG-MV011,0.0
11,12,PO-10-041,226.3,229.1,204506.1,8396876.0,4075.97,2.8,0.501,0.001,3.6,0.371,0.006,0.057,2.16,150.0,8.11,20.89,1.35,1.0,0.06,0.46,0.074,0.184,0.15,0.51,Mixto,5,Skarn,93.19,15.75,3,Skarn,SG-MV012,0.0
12,13,PO-11-072,111.0,117.0,204415.5,8397131.0,4204.6,6.0,0.344,0.001,1.2,0.081,0.004,0.203,3.85,80.0,15.0,9.455,0.59,2.0,0.12,0.56,0.009,0.023,0.03,0.09,Hipógeno,5,Skarn,23.28,14.52,3,Skarn,SG-MV013,0.0
13,14,PO-11-086,168.0,171.5,204402.4,8397130.0,4133.76,0.13562,0.353,0.001,8.1,0.042,0.005,0.029,2.83,120.0,15.0,7.329,0.12,5.0,0.06,0.35,0.036,0.113,0.1,0.42,Mixto,5,Skarn,139.24,17.68,3,Skarn,SG-MV014,0.0
14,15,PO-12-122,83.0,86.8,204385.6,8397180.0,4218.98,3.8,0.155,0.018,1.0,0.136,0.012,0.041,7.8,90.0,7.64,10.97,1.55,2.0,0.87,0.12,0.044,0.067,0.28,0.72,Supergeno,5,Skarn,126.72,16.93,3,Skarn,SG-MV015,0.0
15,16,PO-11-101,171.0,175.0,204457.7,8397062.0,4142.4,4.0,0.586,0.002,2.7,0.605,0.005,0.04,3.42,70.0,7.43,19.21,1.68,6.0,0.36,0.4,0.123,0.297,0.21,0.72,Supergeno,5,Skarn,79.85,13.19,3,Skarn,SG-MV016,0.0
16,17,PO-10-041,235.0,239.0,204507.0,8396873.0,4067.06,4.0,0.676,0.002,4.4,0.363,0.008,0.037,3.77,80.0,10.6,19.9,1.2,2.0,0.33,0.45,0.19,0.356,0.28,0.81,Supergeno,5,Skarn,65.65,16.62,3,Skarn,SG-MV017,1.0
17,18,PO-09-011,12.0,15.5,204587.2,8397085.0,4276.46,3.5,0.125,0.002,2.5,0.137,0.013,0.041,7.31,50.0,8.3,5.634,3.81,1.0,0.38,0.4,0.017,0.052,0.14,0.55,Mixto,4,Endoskarn,69.43,14.27,5,Diorite,MX-MV001,0.0
18,19,PO-11-058,144.0,150.0,204501.4,8396829.0,4123.53,6.0,1.136,0.028,7.1,0.474,0.008,0.039,3.87,110.0,5.61,21.78,2.23,1.0,0.15,0.94,0.123,0.311,0.11,0.38,Mixto,5,Skarn,76.1,15.58,3,Skarn,MX-MV002,0.0
19,20,PO-10-017,116.0,122.0,204535.6,8396830.0,4133.46,6.0,0.321,0.065,5.7,0.272,0.183,0.295,5.61,90.0,11.09,11.29,1.72,1.0,0.33,0.66,0.037,0.109,0.12,0.45,Mixto,5,Skarn,72.72,17.73,3,Skarn,MX-MV003,1.0
20,21,PO-10-021,95.0,98.0,204572.6,8396960.0,4171.4,3.0,0.248,0.003,5.3,0.115,0.028,0.098,2.43,190.0,15.0,7.061,0.66,2.0,0.03,0.82,0.012,0.037,0.05,0.2,Hipógeno,5,Skarn,19.6,14.65,3,Skarn,MX-MV004,0.0
21,22,PO-09-009,30.0,33.0,204583.7,8396717.0,4190.44,3.0,0.827,0.012,5.2,0.199,0.007,0.022,2.61,30.0,9.79,22.19,0.22,3.0,0.21,2.33,0.023,0.034,0.03,0.07,Hipógeno,5,Skarn,72.39,13.9,3,Skarn,MX-MV005,0.0
22,23,PO-10-024,90.0,93.0,204396.37,8396661.44,4134.82,3.0,1.06,0.001,3.0,0.565,0.006,0.029,0.78,30.0,6.12,35.04,0.35,2.0,0.04,0.61,0.258,0.487,0.24,0.7,Supergeno,5,Skarn,64.03,13.05,3,Skarn,MX-MV006,0.0
23,24,PO-09-009,63.5,65.6,204594.6,8396714.0,4159.44,2.1,0.699,0.003,13.5,0.317,0.049,0.108,1.0,70.0,3.08,42.81,0.1,1.0,0.03,1.51,0.026,0.066,0.04,0.13,Hipógeno,5,Skarn,164.58,19.22,3,Skarn,MX-MV007,0.0
24,25,PO-10-031,63.0,68.0,204499.8,8396702.0,4157.45,5.0,0.177,0.005,1.5,0.259,0.038,0.064,8.98,60.0,6.08,5.009,2.89,2.0,1.61,0.26,0.005,0.02,0.03,0.14,Hipógeno,2,Diorite,152.85,19.05,3,Skarn,MX-MV008,0.0
25,26,PO-10-035,94.5,99.7,204497.5,8396666.0,4127.85,5.2,0.549,0.127,0.9,0.0001,0.004,0.019,1.94,30.0,4.45,37.22,0.89,2.0,0.11,0.71,0.033,0.062,0.06,0.17,Hipógeno,5,Skarn,66.39,16.89,3,Skarn,MX-MV009,0.0
26,27,PO-10-017,130.0,136.0,204535.6,8396830.0,4119.46,6.0,0.656,0.072,19.3,0.432,0.157,0.194,3.81,90.0,8.62,16.71,1.4,1.0,0.13,0.88,0.052,0.143,0.08,0.3,Hipógeno,5,Skarn,108.8,16.18,3,Skarn,MX-MV010,0.0
27,28,PO-11-055,66.0,70.0,204551.0,8397071.0,4225.24,4.0,0.214,0.008,1.3,0.115,0.003,0.015,5.32,60.0,10.6,11.88,2.34,1.0,0.7,0.19,0.025,0.045,0.12,0.33,Mixto,5,Skarn,71.71,17.06,3,Skarn,MX-MV011,1.0
28,29,PO-11-059,63.0,66.0,204578.6,8396892.0,4185.33,3.0,0.207,0.034,1.6,0.082,0.005,0.04,4.53,40.0,6.46,17.61,2.94,4.0,0.53,0.15,0.044,0.103,0.21,0.71,Supergeno,5,Skarn,120.17,18.05,3,Skarn,MX-MV012,0.0
